motif_id	sample_id	max_AF_region_count	max_FPS_region_count
ATF2_MA1632.1	ANAB5F7_basal	9	18
ATF2_MA1632.1	PU24GB8_lumB	5	4
ATF3_ATF3_HUMAN.H11MO.0.A	2GAMBDQ_norm	12	5
ATF3_ATF3_HUMAN.H11MO.0.A	S6R691V_her2	6	0
ATF3_ATF3_HUMAN.H11MO.0.A	PU24GB8_lumB	1	7
ATF3_ATF3_HUMAN.H11MO.0.A	98JKPD8_lumA	9	9
ATF3_ATF3_HUMAN.H11MO.0.A	ANAB5F7_basal	7	14
ATF3_M07822_2.00	2GAMBDQ_norm	17	0
ATF3_M07822_2.00	PU24GB8_lumB	2	2
ATF3_M07822_2.00	S6R691V_her2	6	4
ATF3_M07822_2.00	ANAB5F7_basal	3	19
ATF3_M07822_2.00	98JKPD8_lumA	14	17
ATF3_M07823_2.00	2GAMBDQ_norm	15	0
ATF3_M07823_2.00	98JKPD8_lumA	10	14
ATF3_M07823_2.00	ANAB5F7_basal	3	16
ATF3_M07823_2.00	PU24GB8_lumB	2	2
ATF3_M07823_2.00	S6R691V_her2	5	3
ATF3_M07824_2.00	S6R691V_her2	4	3
ATF3_M07824_2.00	PU24GB8_lumB	2	3
ATF3_M07824_2.00	ANAB5F7_basal	4	14
ATF3_M07824_2.00	98JKPD8_lumA	12	16
ATF3_M07824_2.00	2GAMBDQ_norm	14	0
ATF3_M07825_2.00	98JKPD8_lumA	5	8
ATF3_M07825_2.00	PU24GB8_lumB	1	5
ATF3_M07825_2.00	2GAMBDQ_norm	9	3
ATF3_M07825_2.00	S6R691V_her2	5	1
ATF3_M07825_2.00	ANAB5F7_basal	1	4
ATF3_M08187_2.00	2GAMBDQ_norm	16	1
ATF3_M08187_2.00	ANAB5F7_basal	4	13
ATF3_M08187_2.00	PU24GB8_lumB	3	1
ATF3_M08187_2.00	S6R691V_her2	5	4
ATF3_M08187_2.00	98JKPD8_lumA	6	15
ATF3_M08188_2.00	S6R691V_her2	2	8
ATF3_M08188_2.00	PU24GB8_lumB	5	1
ATF3_M08188_2.00	ANAB5F7_basal	9	11
ATF3_M08188_2.00	2GAMBDQ_norm	12	1
ATF3_M08188_2.00	98JKPD8_lumA	5	12
ATF4_ATF4_HUMAN.H11MO.0.A	S6R691V_her2	7	11
ATF4_ATF4_HUMAN.H11MO.0.A	ANAB5F7_basal	6	22
ATF4_ATF4_HUMAN.H11MO.0.A	98JKPD8_lumA	12	15
ATF4_ATF4_HUMAN.H11MO.0.A	2GAMBDQ_norm	20	0
ATF4_ATF4_HUMAN.H11MO.0.A	PU24GB8_lumB	7	4
ATF4_MA0833.2	2GAMBDQ_norm	31	2
ATF4_MA0833.2	98JKPD8_lumA	15	14
ATF4_MA0833.2	ANAB5F7_basal	9	34
ATF4_MA0833.2	PU24GB8_lumB	12	6
ATF4_MA0833.2	S6R691V_her2	4	15
ATF6A_ATF6A_HUMAN.H11MO.0.B	PU24GB8_lumB	5	13
ATF6A_ATF6A_HUMAN.H11MO.0.B	2GAMBDQ_norm	19	3
ATF6A_ATF6A_HUMAN.H11MO.0.B	S6R691V_her2	8	5
ATF6A_ATF6A_HUMAN.H11MO.0.B	98JKPD8_lumA	16	10
ATF6A_ATF6A_HUMAN.H11MO.0.B	ANAB5F7_basal	5	22
ATOH1_ATOH1_HUMAN.H11MO.0.B	S6R691V_her2	8	13
ATOH1_ATOH1_HUMAN.H11MO.0.B	PU24GB8_lumB	8	0
ATOH1_ATOH1_HUMAN.H11MO.0.B	ANAB5F7_basal	9	42
ATOH1_ATOH1_HUMAN.H11MO.0.B	98JKPD8_lumA	19	22
ATOH1_ATOH1_HUMAN.H11MO.0.B	2GAMBDQ_norm	34	1
BACH1_BACH1_HUMAN.H11MO.0.A	98JKPD8_lumA	36	37
BACH1_BACH1_HUMAN.H11MO.0.A	S6R691V_her2	18	26
BACH1_BACH1_HUMAN.H11MO.0.A	PU24GB8_lumB	19	8
BACH1_BACH1_HUMAN.H11MO.0.A	ANAB5F7_basal	16	70
BACH1_BACH1_HUMAN.H11MO.0.A	2GAMBDQ_norm	52	0
BACH1_M08184_2.00	98JKPD8_lumA	8	10
BACH1_M08184_2.00	2GAMBDQ_norm	16	1
BACH1_M08184_2.00	S6R691V_her2	6	5
BACH1_M08184_2.00	ANAB5F7_basal	3	18
BACH1_M08184_2.00	PU24GB8_lumB	4	3
BACH1_M08185_2.00	PU24GB8_lumB	9	1
BACH1_M08185_2.00	S6R691V_her2	7	13
BACH1_M08185_2.00	ANAB5F7_basal	8	28
BACH1_M08185_2.00	2GAMBDQ_norm	24	0
BACH1_M08185_2.00	98JKPD8_lumA	16	22
BACH1_M08186_2.00	98JKPD8_lumA	12	8
BACH1_M08186_2.00	2GAMBDQ_norm	15	2
BACH1_M08186_2.00	S6R691V_her2	5	7
BACH1_M08186_2.00	ANAB5F7_basal	3	17
BACH1_M08186_2.00	PU24GB8_lumB	1	2
BACH2_BACH2_HUMAN.H11MO.0.A	S6R691V_her2	7	10
BACH2_BACH2_HUMAN.H11MO.0.A	PU24GB8_lumB	12	7
BACH2_BACH2_HUMAN.H11MO.0.A	ANAB5F7_basal	15	29
BACH2_BACH2_HUMAN.H11MO.0.A	98JKPD8_lumA	20	31
BACH2_BACH2_HUMAN.H11MO.0.A	2GAMBDQ_norm	26	3
BACH2_M08065_2.00	2GAMBDQ_norm	42	0
BACH2_M08065_2.00	S6R691V_her2	8	20
BACH2_M08065_2.00	PU24GB8_lumB	12	4
BACH2_M08065_2.00	98JKPD8_lumA	29	25
BACH2_M08065_2.00	ANAB5F7_basal	15	57
BATF3_BATF3_HUMAN.H11MO.0.B	PU24GB8_lumB	14	5
